Team 1,Team 2,Winner,Win Margin,Ground,Match Date
Zimbabwe,Australia,Australia,8 wickets,"Vidarbha Cricket Association Ground, Nagpur",1996-03-01
Netherlands,United Arab Emirates,United Arab Emirates,7 wickets,"Gaddafi Stadium, Lahore",1996-03-01
India,Sri Lanka,Sri Lanka,6 wickets,"Feroz Shah Kotla, Delhi",1996-03-02
England,Pakistan,Pakistan,7 wickets,"National Stadium, Karachi",1996-03-03
Australia,West Indies,West Indies,4 wickets,"Sawai Mansingh Stadium, Jaipur",1996-03-04
England,New Zealand,New Zealand,9 wickets,"Narendra Modi Stadium, Ahmedabad",2023-10-05
Pakistan,Netherlands,Pakistan,81 runs,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-10-06
Afghanistan,Bangladesh,Bangladesh,6 wickets,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-07
South Africa,Sri Lanka,South Africa,102 runs,"Arun Jaitley Stadium, Delhi",2023-10-07
Australia,India,India,6 wickets,"MA Chidambaram Stadium, Chepauk, Chennai",2023-10-08
New Zealand,Netherlands,New Zealand,99 runs,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-10-09
England,Bangladesh,England,137 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-10
Sri Lanka,Pakistan,Pakistan,6 wickets,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-10-10
Afghanistan,India,India,8 wickets,"Arun Jaitley Stadium, Delhi",2023-10-11
South Africa,Australia,South Africa,134 runs,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-10-12
Bangladesh,New Zealand,New Zealand,8 wickets,"MA Chidambaram Stadium, Chepauk, Chennai",2023-10-13
Pakistan,India,India,7 wickets,"Narendra Modi Stadium, Ahmedabad",2023-10-14
Afghanistan,England,Afghanistan,69 runs,"Arun Jaitley Stadium, Delhi",2023-10-15
Sri Lanka,Australia,Australia,5 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-10-16
Netherlands,South Africa,Netherlands,38 runs,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-17
New Zealand,Afghanistan,New Zealand,149 runs,"MA Chidambaram Stadium, Chepauk, Chennai",2023-10-18
Bangladesh,India,India,7 wickets,"Maharashtra Cricket Association Stadium, Pune",2023-10-19
Australia,Pakistan,Australia,62 runs,"M Chinnaswamy Stadium, Bengaluru",2023-10-20
Netherlands,Sri Lanka,Sri Lanka,5 wickets,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023-10-21
South Africa,England,South Africa,229 runs,"Wankhede Stadium, Mumbai",2023-10-21
New Zealand,India,India,4 wickets,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2023-10-22
Pakistan,Afghanistan,Afghanistan,8 wickets,"MA Chidambaram Stadium, Chepauk, Chennai",2023-10-23
South Africa,Bangladesh,South Africa,149 runs,"Wankhede Stadium, Mumbai",2023-10-24
Australia,Netherlands,Australia,309 runs,"Arun Jaitley Stadium, Delhi",2023-10-25
England,Sri Lanka,Sri Lanka,8 wickets,"M Chinnaswamy Stadium, Bengaluru",2023-10-26
Pakistan,South Africa,South Africa,1 wickets,"MA Chidambaram Stadium, Chepauk, Chennai",2023-10-27
England,India,England,202 runs,"Lord's, London",1975-06-07
New Zealand,East Africa,New Zealand,181 runs,"Edgbaston, Birmingham",1975-06-07
Australia,Pakistan,Australia,73 runs,"Headingley, Leeds",1975-06-07
Sri Lanka,West Indies,West Indies,9 wickets,"Old Trafford, Manchester",1975-06-07
England,New Zealand,England,80 runs,"Trent Bridge, Nottingham",1975-06-11
East Africa,India,India,10 wickets,"Headingley, Leeds",1975-06-11
Australia,Sri Lanka,Australia,52 runs,"Kennington Oval, London",1975-06-11
Pakistan,West Indies,West Indies,1 wickets,"Edgbaston, Birmingham",1975-06-11
England,East Africa,England,196 runs,"Edgbaston, Birmingham",1975-06-14
India,New Zealand,New Zealand,4 wickets,"Old Trafford, Manchester",1975-06-14
Australia,West Indies,West Indies,7 wickets,"Kennington Oval, London",1975-06-14
Pakistan,Sri Lanka,Pakistan,192 runs,"Trent Bridge, Nottingham",1975-06-14
England,Australia,Australia,4 wickets,"Headingley, Leeds",1975-06-18
New Zealand,West Indies,West Indies,5 wickets,"Kennington Oval, London",1975-06-18
West Indies,Australia,West Indies,17 runs,"Lord's, London",1975-06-21
England,South Africa,England,104 runs,"Kennington Oval, London",2019-05-30
Pakistan,West Indies,West Indies,7 wickets,"Trent Bridge, Nottingham",2019-05-31
Sri Lanka,New Zealand,New Zealand,10 wickets,"Sophia Gardens, Cardiff",2019-06-01
Afghanistan,Australia,Australia,7 wickets,"County Ground, Bristol",2019-06-01
Bangladesh,South Africa,Bangladesh,21 runs,"Kennington Oval, London",2019-06-02
Pakistan,England,Pakistan,14 runs,"Trent Bridge, Nottingham",2019-06-03
Sri Lanka,Afghanistan,Sri Lanka,34 runs,"Sophia Gardens, Cardiff",2019-06-04
South Africa,India,India,6 wickets,"The Rose Bowl, Southampton",2019-06-05
Bangladesh,New Zealand,New Zealand,2 wickets,"Kennington Oval, London",2019-06-05
